Topic_Name,risk_level_basic,count
Account and Technical Support,0,346
Account and Technical Support,2,80
Baggage and Lost Items,0,492
Baggage and Lost Items,1,22
Baggage and Lost Items,2,54
Billing and Refunds,0,474
Billing and Refunds,1,30
Billing and Refunds,2,98
Flight Operations and Status,0,40
Flight Operations and Status,2,28
General Customer Service,0,5800
General Customer Service,1,54
General Customer Service,2,732
In-flight Experience,0,532
In-flight Experience,2,62
Loyalty and Rewards Program,0,3850
Loyalty and Rewards Program,1,22
Loyalty and Rewards Program,2,358
Reservations and Ticketing,0,1754
Reservations and Ticketing,1,30
Reservations and Ticketing,2,394
Special Services and Assistance,0,266
Special Services and Assistance,2,80
